VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PULocationID,DOLocationID
1,2/29/2016 9:51,2/29/2016 10:31,1,8.3,-73.87445068,40.77402115,1,Y,-73.97774506,40.7518692,1,33,0,0.5,9.8,5.54,0.3,49.14,,
1,2/10/2016 18:44,2/10/2016 19:02,2,2.7,-73.99226379,40.75070572,1,Y,-73.9943924,40.7246666,1,13,1,0.5,3.7,0,0.3,18.5,,
1,2/4/2016 23:54,2/5/2016 0:08,1,2.5,-73.98246002,40.74261475,1,Y,-73.98246002,40.74261475,2,12,0.5,0.5,0,0,0.3,13.3,,
1,2/3/2016 18:37,2/3/2016 18:56,1,1.6,-73.98777771,40.74489594,1,Y,-73.96662903,40.75302124,1,12.5,1,0.5,3,0,0.3,17.3,,
1,2/18/2016 7:05,2/18/2016 7:09,1,0.5,-73.98966217,40.7341156,1,Y,-73.98146057,40.73304749,1,5,0,0.5,1,0,0.3,6.8,,
1,2/18/2016 23:37,2/18/2016 23:52,1,7,-73.87453461,40.7741394,1,Y,-73.95105743,40.81186295,1,21.5,0.5,0.5,5.65,5.54,0.3,33.99,,
1,2/8/2016 20:00,2/8/2016 20:11,1,5,-74.01174164,40.70928574,1,Y,-73.9773941,40.65608215,1,16,1,0.5,4.65,5.54,0.3,27.99,,
1,2/8/2016 8:22,2/8/2016 8:32,1,1.8,-73.9804306,40.74821091,1,Y,-74.00354004,40.7411499,2,8.5,0,0.5,0,0,0.3,9.3,,
1,2/10/2016 20:20,2/10/2016 20:51,1,17.5,-73.77671051,40.6453476,2,Y,-73.97521973,40.7576828,1,52,0,0.5,11.65,5.54,0.3,69.99,,
1,2/21/2016 11:11,2/21/2016 11:20,1,1.8,-73.99204254,40.74410248,1,Y,-74.00883484,40.7313652,1,8.5,0,0.5,1.5,0,0.3,10.8,,
1,2/12/2016 17:08,2/12/2016 17:10,1,0.6,-73.95895386,40.76390457,1,Y,-73.9528656,40.7721405,2,4,1,0.5,0,0,0.3,5.8,,
1,2/24/2016 21:36,2/24/2016 21:50,1,2.8,-73.97911835,40.75289917,1,Y,-73.94947815,40.78207779,2,12,0.5,0.5,0,0,0.3,13.3,,
1,2/11/2016 18:29,2/11/2016 18:37,1,0.7,-73.98236084,40.76842117,1,Y,-73.98487091,40.75913239,2,6.5,1,0.5,0,0,0.3,8.3,,
1,2/19/2016 14:33,2/19/2016 14:55,1,2.2,-73.95886993,40.76386642,1,Y,-73.98316193,40.75526428,1,14.5,0,0.5,3.8,0,0.3,19.1,,
1,2/1/2016 10:14,2/1/2016 10:14,1,0,-73.97720337,40.74307251,1,Y,-73.97720337,40.74307251,3,2.5,0,0.5,0,0,0.3,3.3,,
1,2/28/2016 10:12,2/28/2016 10:25,1,3,-73.9643631,40.75619888,1,Y,-73.96755981,40.78768158,2,12,0,0.5,0,0,0.3,12.8,,
1,2/18/2016 8:31,2/18/2016 8:41,1,1.3,-73.9901886,40.75128555,1,Y,-73.97407532,40.74879456,1,8,0,0.5,1.75,0,0.3,10.55,,
1,2/12/2016 12:15,2/12/2016 12:49,1,17.2,-73.78195953,40.64470291,2,Y,-73.98403168,40.74429703,2,52,0,0.5,0,5.54,0.3,58.34,,
1,2/27/2016 17:05,2/27/2016 17:07,1,0.4,-73.98539734,40.74720383,1,Y,-73.98974609,40.74138641,2,4,0,0.5,0,0,0.3,4.8,,
1,2/6/2016 9:32,2/6/2016 9:38,1,1.1,-73.95098114,40.78303909,1,Y,-73.96473694,40.79169846,2,6,0,0.5,0,0,0.3,6.8,,
1,2/11/2016 11:49,2/11/2016 12:11,1,3.9,-73.99969482,40.71164322,1,Y,-73.96260071,40.68751144,2,17.5,0,0.5,0,0,0.3,18.3,,
1,2/23/2016 18:25,2/23/2016 18:37,1,1.9,-73.98566437,40.75801468,1,Y,-74.00600433,40.74036789,1,10,1,0.5,2.35,0,0.3,14.15,,
1,2/20/2016 13:52,2/20/2016 14:03,1,1,-73.99506378,40.74040985,1,Y,-74.00349426,40.74876404,1,8,0,0.5,1.75,0,0.3,10.55,,
1,2/20/2016 14:32,2/20/2016 14:51,1,3.1,-73.98842621,40.72335434,1,Y,-73.96273041,40.76329041,1,14.5,0,0.5,3.05,0,0.3,18.35,,
1,2/4/2016 5:59,2/4/2016 6:05,1,0.8,-73.97729492,40.74635696,1,Y,-73.99140167,40.75020218,1,6,0,0.5,0.6,0,0.3,7.4,,
1,2/11/2016 11:55,2/11/2016 11:59,2,0.8,-73.93122864,40.76543808,1,Y,-73.93258667,40.77456284,2,5,0,0.5,0,0,0.3,5.8,,
1,2/28/2016 1:22,2/28/2016 1:29,1,1.4,-73.95864868,40.8008194,1,Y,-73.97568512,40.78173447,2,6.5,0.5,0.5,0,0,0.3,7.8,,
1,2/16/2016 20:43,2/16/2016 21:00,1,7.2,-73.95710754,40.77081299,1,Y,-73.95407867,40.71061325,1,22.5,0.5,0.5,4.75,0,0.3,28.55,,
1,2/16/2016 9:44,2/16/2016 9:48,1,0.3,-74.00752258,40.70452499,1,Y,-74.01274872,40.70254517,2,4.5,0,0.5,0,0,0.3,5.3,,
1,2/20/2016 12:41,2/20/2016 12:47,1,1.9,-73.95640564,40.74168777,1,Y,-73.9770813,40.7477684,1,7.5,0,0.5,2.75,5.54,0.3,16.59,,
1,2/13/2016 10:50,2/13/2016 10:58,1,1.3,-73.96326447,40.80374908,1,Y,-73.94692993,40.80762482,1,7.5,0,0.5,0.5,0,0.3,8.8,,
1,2/14/2016 2:48,2/14/2016 3:16,1,10.6,-73.9979248,40.74591827,1,Y,-73.8538208,40.73248672,1,32.5,0.5,0.5,5,0,0.3,38.8,,
1,2/19/2016 2:13,2/19/2016 2:15,1,1.3,-73.96478271,40.76381683,1,Y,-73.94781494,40.77111816,2,5.5,0.5,0.5,0,0,0.3,6.8,,
1,2/4/2016 17:47,2/4/2016 18:00,2,2.6,-73.98724365,40.74500275,1,Y,-74.00859833,40.71933365,2,11,1,0.5,0,0,0.3,12.8,,
1,2/19/2016 10:40,2/19/2016 10:59,1,1,-73.99414825,40.74061203,1,Y,-73.98256683,40.74513245,1,12,0,0.5,2.55,0,0.3,15.35,,
1,2/5/2016 9:21,2/5/2016 9:51,1,2.7,-73.97271729,40.78573608,1,Y,-73.97947693,40.75457001,1,18.5,0,0.5,3.85,0,0.3,23.15,,
1,2/21/2016 14:33,2/21/2016 14:37,2,0.9,-73.95497131,40.77741241,1,Y,-73.95264435,40.76827621,1,5.5,0,0.5,1.55,0,0.3,7.85,,
1,2/4/2016 4:06,2/4/2016 4:18,2,6.6,-73.99095917,40.76072693,1,Y,-73.94393921,40.83507156,2,19.5,0.5,0.5,0,0,0.3,20.8,,
1,2/20/2016 3:22,2/20/2016 3:42,1,4.4,-73.99355316,40.72172928,1,Y,-73.96310425,40.67738724,2,17.5,0.5,0.5,0,0,0.3,18.8,,
1,2/7/2016 21:47,2/7/2016 21:52,2,0.9,-73.9855423,40.7633934,1,Y,-73.97225189,40.76298523,2,5,0.5,0.5,0,0,0.3,6.3,,
1,2/12/2016 16:17,2/12/2016 17:04,1,8.6,-73.98042297,40.74568176,1,Y,-73.87271881,40.77450562,1,35,1,0.5,8.45,5.54,0.3,50.79,,
1,2/7/2016 13:18,2/7/2016 13:18,1,0,-74.00440216,40.71644974,1,Y,0,0,2,4,0,0.5,0,0,0.3,4.8,,
1,2/3/2016 9:22,2/3/2016 9:26,1,0.5,-74.01480103,40.70470428,1,Y,-74.00700378,40.70530701,2,5,0,0.5,0,0,0.3,5.8,,
1,2/14/2016 4:06,2/14/2016 4:11,1,1.2,-73.98600769,40.72247696,1,Y,-73.9749527,40.73298645,1,6,0.5,0.5,0,0,0.3,7.3,,
1,2/17/2016 19:46,2/17/2016 20:07,1,5.1,-73.97491455,40.75230789,1,Y,-73.94801331,40.70834732,1,19,1,0.5,5.25,5.54,0.3,31.59,,
1,2/8/2016 20:51,2/8/2016 20:53,1,0.5,-73.96679688,40.76742935,1,Y,-73.96904755,40.76174927,1,4,0.5,0.5,1.05,0,0.3,6.35,,
1,2/16/2016 23:49,2/17/2016 0:11,1,10.3,-73.87089539,40.77381897,1,Y,-73.97595978,40.77637863,1,30,0.5,0.5,7.35,5.54,0.3,44.19,,
1,2/18/2016 12:47,2/18/2016 13:15,1,4.6,-73.99445343,40.75081253,1,Y,-73.96113586,40.80665207,1,19.5,0,0.5,3,0,0.3,23.3,,
1,2/24/2016 22:24,2/24/2016 22:26,1,0.4,-73.96363831,40.67692566,1,Y,-73.96473694,40.68273544,2,3.5,0.5,0.5,0,0,0.3,4.8,,
1,2/18/2016 16:19,2/18/2016 16:26,2,1,-73.95665741,40.77490234,1,Y,-73.94379425,40.77783966,2,6.5,1,0.5,0,0,0.3,8.3,,
1,2/12/2016 22:16,2/12/2016 22:39,1,14.5,-73.78194427,40.64450836,1,Y,-73.90222168,40.75043106,2,40.5,0.5,0.5,0,0,0.3,41.8,,
1,2/8/2016 11:48,2/8/2016 12:06,1,2,-73.96033478,40.76190186,1,Y,-73.98936462,40.76278305,1,12.5,0,0.5,3.32,0,0.3,16.62,,
1,2/1/2016 13:38,2/1/2016 13:54,1,8,-73.87448883,40.77407837,1,Y,-73.97653961,40.74939346,1,23.5,0,0.5,5.95,5.54,0.3,35.79,,
1,2/28/2016 18:14,2/28/2016 18:23,1,1.7,-73.97611237,40.7760849,1,Y,-73.97724152,40.75828934,1,8.5,0,0.5,2.7,0,0.3,12,,
1,2/7/2016 15:11,2/7/2016 15:14,1,0.8,-73.97361755,40.78466797,1,Y,-73.97900391,40.77428436,1,4.5,0,0.5,1.3,0,0.3,6.6,,
1,2/27/2016 8:50,2/27/2016 9:02,1,2.9,-73.95526123,40.74589157,1,Y,-73.98730469,40.75380707,1,11,0,0.5,3.45,5.54,0.3,20.79,,
1,2/12/2016 21:57,2/12/2016 22:07,2,1.4,-73.99275208,40.7479744,1,Y,-73.99845886,40.72977066,1,9,0.5,0.5,2.05,0,0.3,12.35,,
1,2/11/2016 10:07,2/11/2016 10:14,2,1.1,-73.98485565,40.76948166,1,Y,-73.98589325,40.75812531,1,6.5,0,0.5,1.46,0,0.3,8.76,,
1,2/14/2016 12:33,2/14/2016 12:41,1,1.3,-73.97292328,40.76164627,1,Y,-73.97935486,40.74618149,2,7.5,0,0.5,0,0,0.3,8.3,,
1,2/10/2016 23:47,2/11/2016 0:01,1,4.4,-73.99085236,40.7437706,1,Y,-73.99436188,40.6946907,1,15,0.5,0.5,3.25,0,0.3,19.55,,
1,2/23/2016 11:23,2/23/2016 11:37,1,1.4,-73.97844696,40.77721786,1,Y,-73.98243713,40.76117706,1,10,0,0.5,2.15,0,0.3,12.95,,
1,2/17/2016 20:51,2/17/2016 20:55,1,0.5,-73.99403381,40.75110245,1,Y,-73.99752045,40.75644684,1,4.5,0.5,0.5,1.15,0,0.3,6.95,,
1,2/16/2016 21:33,2/16/2016 21:39,1,1.8,-74.0018158,40.75101089,1,Y,-73.98082733,40.76498413,1,7.5,0.5,0.5,1,0,0.3,9.8,,
1,2/2/2016 19:28,2/2/2016 19:30,2,0.3,-74.00257111,40.73971558,1,Y,-73.99947357,40.74386978,1,3.5,1,0.5,1.05,0,0.3,6.35,,
1,2/24/2016 22:11,2/24/2016 22:23,1,3.2,-74.00767517,40.70440292,1,Y,-73.99087524,40.68214798,1,12,0.5,0.5,4,0,0.3,17.3,,
1,2/21/2016 17:50,2/21/2016 17:57,1,1,-73.98480988,40.76947021,1,Y,-73.98112488,40.78124619,1,6.5,0,0.5,1.45,0,0.3,8.75,,
1,2/26/2016 12:21,2/26/2016 12:58,2,9,-73.86343384,40.77019501,1,Y,-73.97384644,40.74925613,2,34,0,0.5,0,5.54,0.3,40.34,,
1,2/25/2016 12:35,2/25/2016 13:07,2,15.1,-73.78939056,40.66526794,2,Y,-73.9850769,40.74953842,2,52,0,0.5,0,5.54,0.3,58.34,,
1,2/22/2016 21:56,2/22/2016 22:22,1,14.6,-73.79004669,40.64365768,1,Y,-73.74142456,40.77621841,2,40.5,0.5,0.5,0,0,0.3,41.8,,
1,2/25/2016 9:27,2/25/2016 10:13,1,9.9,-73.97846222,40.76200867,1,Y,-73.87229919,40.7744751,1,40,0,0.5,9.25,5.54,0.3,55.59,,
1,2/3/2016 16:45,2/3/2016 16:52,1,0.7,-73.93943787,40.75159454,1,Y,-73.93984222,40.74800491,1,6,1,0.5,1,0,0.3,8.8,,
1,2/6/2016 19:05,2/6/2016 19:56,1,10.2,-73.99480438,40.75182343,1,Y,-73.97451019,40.6472168,2,39.5,0,0.5,0,0,0.3,40.3,,
1,2/23/2016 19:05,2/23/2016 19:20,1,2,-73.99671936,40.7296524,1,Y,-73.97333527,40.74390793,1,11.5,1,0.5,3.3,0,0.3,16.6,,
1,2/27/2016 0:32,2/27/2016 0:50,1,4.4,-73.98602295,40.72797012,1,Y,-73.98178101,40.77137756,1,16.5,0.5,0.5,3.56,0,0.3,21.36,,
1,2/29/2016 15:09,2/29/2016 15:13,1,0.6,-73.96766663,40.75227356,1,Y,-73.96459961,40.75920868,1,5,0,0.5,1,0,0.3,6.8,,
